firm,group
alfa romeo,fca italy spa
alpine,renault
audi,vw group pc
bentley,vw group pc
bmb sp. z o. o.,psa-opel
bmw,bmw group
brabus,daimler ag
bugatti,vw group pc
cadillac,general motors
carpol sp. z o.o.,psa-opel
chevrolet,general motors
chrysler,fca italy spa
citroen,psa-opel
cng-technik,ford-werke gmbh
dacia,renault
daihatsu,toyota-mazda
daimler,daimler ag
demag,psa-opel
fiat,fca italy spa
ford,ford-werke gmbh
general motors,general motors
gm,general motors
gruau,daimler ag
honda,honda motor europe ltd
hyundai,hyundai
iveco,fca italy spa
jaguar,tata motors jaguar land rover
jeep,fca italy spa
jlr  uk,tata motors jaguar land rover
jlr ltd    uk,tata motors jaguar land rover
jlr uk,tata motors jaguar land rover
kia,kia
lada,renault
lamborghini,vw group pc
man,vw group pc
maruti (ind),suzuki pool
maruti udyog,suzuki pool
maserati,fca italy spa
mazda,toyota-mazda
mitshubishi motors,mitsubishi motors
mitsubishi,mitsubishi motors
peugeot,psa-opel
porsche,vw group pc
psa,psa-opel
quattro,vw group pc
renault,renault
rolls-royce,bmw group
rover,tata motors jaguar land rover
seat,vw group pc
skoda,vw group pc
suzuki,suzuki pool
tata,tata motors jaguar land rover
toyota,toyota-mazda
vaz,renault
volkswagen,vw group pc
fca,fca italy spa
opel,psa-opel
